group,file,ref_svg_size,ref_tvg_size,cur_svg_size,svgo_size,tvgt_size,tvg_size,zstd_size,brotli_size,zstd_dict_size,status,fail_stage,fail_detail
material-design,blur-linear.svg,1036,682,1074,938,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M13 17a1 1 0 0 0 1-1 1 1 0 0 0-1-1 1 1 0 0 0-1 1 1 1 0 0 0 1 1m0-4̲a1 1 0 0 0 1-1 1 1 0 0 0-1-1 1 1 0 0 0-1…' Unhandled exception: System.InvalidOperationException: New MoveTo detected
material-design,book-alert.svg,240,138,248,196,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M18 4v16c0 1.11-.89 2-2 2H4a2 2 0 0 1-2-2V4c0-1.1.9-2 2-2h1v7l2.5-1.5L10 9V2h6a2 2 0 0 1 2 2m2 13̲h2v-2h-2zm0-10v6h2V7z' Unhandled exception: System.InvalidOperationException: New Move
material-design,book-arrow-left-outline.svg,333,172,352,259,963,167,145,143,26,ok,,
material-design,book-cog-outline.svg,1034,504,1046,684,2958,497,379,364,323,ok,,
material-design,book-cog.svg,1009,492,1013,675,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M12 19c0 1.08.25 2.09.68 3H6c-1.11 0-2-.89-2-2V4a2 2 0 0 1 2-2h1v7l2.5-1.5L12 9V2h6a2 2 0 0 1 2 2v8.08c-.33-.05-.66-.08-1-.08-3.87 0-7 3.13-7 7m11.8 1.4̲c.1 0 .1.1 0 .2l-1 1.7c-.1.1-.2
material-design,book-marker.svg,466,244,473,385,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M13 15.5c0 2.28 1.7 4.91 2.91 6.5H6c-1.11 0-2-.89-2-2V4a2 2 0 0 1 2-2h1v7l2.5-1.5L12 9V2h6a2 2 0 0 1 2 2v6.22c-.5-.14-1-.22-1.5-.22-3 0-5.5 2.5-5.5 5.5m9 0̲c0 2.6-3.5 6.5-3.5 6.5S15 18
material-design,book-minus.svg,287,147,293,231,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M13 19c0 1.1.3 2.12.81 3H6c-1.11 0-2-.89-2-2V4a2 2 0 0 1 2-2h1v7l2.5-1.5L12 9V2h6a2 2 0 0 1 2 2v9.09c-.33-.05-.66-.09-1-.09-3.31 0-6 2.69-6 6m2-1̲v2h8v-2z' Unhandled exception: System.
material-design,book-open-page-variant.svg,530,225,540,401,1108,222,196,184,188,ok,,
material-design,book-open-variant.svg,1111,472,1069,815,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M12 21.5c-1.35-.85-3.8-1.5-5.5-1.5-1.65 0-3.35.3-4.75 1.05-.1.05-.15.05-.25.05-.25 0-.5-.25-.5-.5V6c.6-.45 1.25-.75 2-1 1.11-.35 2.33-.5 3.5-.5 1.95 0 4.05.4 5.5 1.5 1.45-1.1 3.55-1.5
material-design,book-remove.svg,413,195,420,338,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M13 19c0 1.1.3 2.12.81 3H6c-1.11 0-2-.89-2-2V4a2 2 0 0 1 2-2h1v7l2.5-1.5L12 9V2h6a2 2 0 0 1 2 2v9.09c-.33-.05-.66-.09-1-.09-3.31 0-6 2.69-6 6m9.54-2.12̲-1.42-1.41L19 17.59l-2.12-2.12-1
material-design,bookmark-remove-outline.svg,315,156,331,267,897,147,137,134,116,ok,,
material-design,bookmark.svg,155,66,156,126,363,65,68,55,49,ok,,
material-design,boom-gate-up.svg,473,257,473,371,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M19.9 3c-.6-1-1.8-1.3-2.7-.7L6.9 8.2C6.6 8.1 6.3 8 6 8c-1.7 0-3 1.3-3 3v9c-.6 0-1 .4-1 1v1h8v-1c0-.6-.4-1-1-1v-8.4l10.1-5.8c1-.6 1.3-1.8.8-2.8M6 12.5̲c-.8 0-1.5-.7-1.5-1.5S5.2 9.5 6 9.
material-design,border-bottom.svg,324,259,325,272,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M5 15H3v2h2m-2 4̲h18v-2H3m2-8H3v2h2m14-4h2V7h-2m0-2h2V3h-…' Unhandled exception: System.InvalidOperationException: New MoveTo detected without ClosePath    at SvgPathParser.ParseMoveTo
material-design,border-vertical.svg,322,259,325,278,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M15 13h2v-2h-2m0 10̲h2v-2h-2m0-14h2V3h-2m4 6h2V7h-2m0-2h2V3h…' Unhandled exception: System.InvalidOperationException: New MoveTo detected without ClosePath    at SvgPathParser.ParseMov
material-design,bottle-wine-outline.svg,602,280,624,467,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M11.5 2c-.28 0-.5.22-.5.5V7c-.07 0-.15 0-.22.03-.96.24-1.57.97-2.02 1.86C8.3 9.76 8 10.84 8 12c.05 3 0 6.03 0 9 0 .55.45 1 1 1h6c.55 0 1-.45 1-1 .04-3 0-6 0-9 0-1.16-.26-2.24-.72-3.12-
material-design,bowl.svg,160,61,152,126,332,58,66,62,55,ok,,
material-design,bowling.svg,468,234,463,413,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M12 2a10 10 0 0 1 10 10 10 10 0 0 1-10 10A10 10 0 0 1 2 12 10 10 0 0 1 12 2m.5 9̲a1.5 1.5 0 0 0-1.5 1.5 1.5 1.5 0 0 0 1.5…' Unhandled exception: System.InvalidOperationException: New M
material-design,box-cutter.svg,436,162,434,315,914,153,159,154,26,ok,,
